,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,jlr,yylr,yysr,Momentum_1M,Momentum_12M,MACrossover,Momentum_24M,CurrentRatio,AssetTurnover,LTD2Equity_LR,PD,BZC
284,284,2440.0,-0.158271049,0.096311577,0.276766395,0.271717741,0.531861954,0.538263291,0.224397113,-0.183168762,-0.075954546,-0.098795598,-0.475077792,-0.01295544,0.451109424,0.022023004,-0.005757668,-0.056580745,-1.567412472,0.395927873,-0.00159754,-1.20776135,0.59677507,0.078224837,-0.65273096,0.094680098,0.057619229
285,285,2444.0,-0.387451991,0.045563646,0.071040461,-0.058405804,-0.024162406,-0.01665447,-0.544231244,-0.473764946,0.031379445,-0.001853338,0.121322777,0.13768624,0.541904874,0.023856434,-0.000504657,-0.055796517,-0.250986908,1.261897561,0.622805784,0.121264831,0.40461576,-0.122747769,-0.59839188,-0.696946864,0.623058024
286,286,2450.0,-0.441154287,0.086323952,0.144073168,-0.075537614,-0.100746893,-0.094032756,-0.919580821,-0.546419318,0.046212491,0.016851856,0.373828278,0.902712216,0.829423801,0.025539854,0.004921588,-0.053630661,0.251539535,-1.012137329,-2.553815615,1.108301408,-0.095605025,-0.242982763,-0.429421288,0.123955366,-0.539612455
287,287,2456.0,1.313826521,0.140985953,0.201933587,0.066428374,0.237357882,0.234619433,-0.906133874,0.130470151,0.069036512,0.008578022,0.20709946,0.26816197,-0.122179617,0.01349876,-0.025468192,-0.051192319,0.181397724,2.389032368,1.387958292,-0.097303795,-0.407648549,1.169925617,-0.191792555,-0.400045704,0.892836902
288,288,2461.0,-0.201948917,-0.401585016,-0.468990117,-0.030807803,0.063332748,0.062105129,-0.191253982,-0.209654214,0.03720593,0.010538355,-0.335618305,-0.521927665,-0.499601743,0.028678919,0.045300517,-0.055537488,0.678250975,0.481464221,0.083682344,-1.097178002,-0.498222786,0.00266292,-0.085640061,0.230749108,0.28847199
289,289,2463.0,-0.496789866,-0.54100686,-0.546137343,-0.107813242,-0.158069857,-0.156852815,-0.299845002,-0.162353375,0.210590051,0.185735619,-0.025176025,-0.659341818,-0.654603567,0.01154027,-0.095270439,-0.057336387,-0.22776869,0.567097221,0.863191867,-0.131306399,-0.30003358,0.236576591,-0.317190201,0.830317709,0.392873657
290,290,2465.0,-0.521278113,-0.222887513,-0.391842892,-0.289539062,-0.109853103,-0.102854881,-0.634566927,-0.537210953,0.041759648,-0.000321146,0.112693285,-0.269472989,-0.02438892,0.048840144,0.028984241,-0.051712523,-0.22776869,-1.448556184,-0.182770576,0.118313916,0.711207045,-0.27888846,-0.37376272,-0.236424671,0.280890339
291,291,2466.0,-0.426066499,0.690845189,1.372514154,0.413683729,0.316795928,0.325439464,-1.062790242,-0.670063793,0.53252832,0.741082074,1.883250089,3.189497433,3.064048307,0.063512616,0.076976604,-0.049994965,-0.103715878,-0.966241581,-4.731175052,2.323556707,-0.283333824,-0.462150821,0.02459912,0.799587872,2.197093587
292,292,2470.0,-0.109366158,-0.068754168,0.045324719,-0.016833392,0.066815769,0.069553909,-0.253293775,0.43210725,0.019265968,-0.002078433,-0.087667259,0.892582862,1.222977823,0.033767037,0.033662347,-0.054776663,-0.341354754,-1.519471394,-2.533370088,0.214665786,-0.221085608,1.564818988,-0.58682809,-1.225047076,-0.785630117
293,293,2475.0,-0.148113643,0.182016195,-0.057538248,0.023628084,-0.004733026,-0.003572406,-0.934966001,-0.318923136,-0.001417337,-0.029570186,-0.113570929,0.476425947,0.327372071,0.025108438,0.00337705,-0.054381745,0.642468208,-0.848451288,-1.388774445,-0.160248612,-0.386501533,0.655513212,-0.61920551,-0.454034007,-0.916435217
294,294,2477.0,-0.546257352,-0.315610462,-0.2257192,-0.020750905,-0.150558283,-0.154218579,-0.527648232,-0.363478369,0.621737936,23.70504373,1.893491703,1.01621293,0.47723453,0.005095757,-0.037104466,-0.054444006,-0.300003145,-1.238000027,-2.636179794,0.150259012,-0.249094185,-0.345447012,0.481005044,0.595562768,0.491606745
295,295,2479.0,-0.381519166,-0.255954649,-0.194860309,0.118116155,0.057583666,0.061618208,-0.428383081,-0.347984216,0.025224064,-0.000841967,-0.531346742,0.001774794,0.230223794,0.022654724,-0.003217217,-0.055987116,1.490594609,0.229520056,0.690843136,-0.031273101,-0.470079468,-0.001667362,-0.408755262,-0.067155859,0.241141213
296,296,2482.0,-0.170832272,-0.363254132,-0.314695666,-0.275740062,-0.240990924,-0.235592961,0.082269907,0.221717978,0.00710074,-0.041990903,-0.12106434,-0.31329265,-0.418656742,0.023196355,-0.001628838,-0.055492623,1.040752875,-1.896495202,-2.709835771,-0.098790866,-0.030038706,0.219552772,-0.332129497,-0.048698755,0.417002407
297,297,2489.0,-0.538912924,-0.424799496,-0.237548441,0.119168621,-0.195711657,-0.188776208,-0.737149534,-0.380603758,-0.061122288,-0.094971472,-0.048723129,0.428840244,0.53712241,0.005654261,-0.029354534,-0.038946519,-0.481270741,-1.998440896,-0.159429901,2.467210053,-0.144461534,0.414979705,-0.654448531,0.660394666,1.296499868
298,298,2493.0,0.688343092,-0.1195021,0.071040461,-0.090096729,-0.560463637,-0.590495926,-0.159829081,0.643981525,0.566266082,0.427688229,0.622162521,0.378471752,-0.197628352,-0.001321521,-0.098629709,-0.056481117,-0.217651515,0.123306403,0.073198382,1.604933425,-0.57196233,0.553341393,0.389876831,0.717970358,0.614254122
299,299,2498.0,-0.595172472,-0.457731664,-0.468990117,-0.075713025,-0.185136703,-0.177510863,-0.55365225,-0.342671477,0.002468212,-0.021600173,-0.439123261,0.010642617,0.221087145,0.027424087,0.007896984,-0.055976865,-0.403781031,-2.165068654,-0.263613371,0.571455511,0.121103803,0.158995158,-0.628254071,0.963119185,0.614270453
300,300,2500.0,-0.631291103,-0.404959214,-0.404700763,-0.527454879,-1.090050612,-1.08392673,-0.456930155,-0.68955534,-0.109343446,-0.132213818,-1.279362701,-0.558808904,-0.693791226,0.039684055,0.017288057,-0.055307722,-0.565255127,1.356018792,1.44412834,1.076298891,,-1.147356172,,0.141709677,0.761694348
301,301,2503.0,-0.457397953,-0.334640937,-0.237548441,-0.230074725,-0.243718591,-0.237133279,-0.988152971,-0.465019671,0.116970412,0.079891824,2.540710395,0.594731611,0.986495647,0.023099763,-0.002123633,-0.05599078,0.048596679,0.927544314,-0.332447822,3.025624398,0.347232208,0.601107643,-0.237885202,0.064019751,0.460064538
302,302,2505.0,-0.630350034,-0.603362031,-0.571081612,-0.139738049,-0.220344585,-0.214068875,-0.499375283,-0.415039008,-0.070504637,-0.054709339,0.983215289,-0.800837395,-0.813745436,0.080959425,-0.017236212,-0.050445407,-0.114864415,-1.003693457,-2.273883169,-0.883553241,0.149716231,-0.262040033,-0.311933119,0.165521234,0.399679173
303,303,2508.0,-0.011627979,1.146496829,0.893944199,0.476422404,0.60567681,0.61431918,-1.069437554,-0.472827703,0.046997035,0.019773359,0.160845921,1.581824201,1.963902961,0.024766949,0.002417237,-0.054940178,-0.899378665,0.587848247,-0.749391364,2.724291548,-0.050137317,0.790824793,-0.651317541,1.149933077,-1.482630301
304,304,2551.0,-0.335877329,-0.14649568,-0.08325399,-0.171955206,-0.090339796,-0.086389447,-0.92538291,-0.538706133,0.021897796,-0.006979079,-0.27138328,0.131582655,0.230437934,0.0242589,0.016137699,-0.052465259,1.888123771,0.792157227,0.222616534,-0.534200056,-0.103330489,-0.047575451,-0.530522451,0.387746933,1.110152228
305,305,2568.0,-0.592236747,-0.991664688,-1.060452179,-0.289597532,-0.467093509,-0.463173545,-1.327894834,-0.69633962,-0.169654045,-0.183059285,-1.507254229,-3.741837904,-3.588146039,0.051955391,0.095017914,-0.010959436,-0.462144768,-2.157594549,-0.695468732,2.282093045,-0.580380703,0.023209695,-0.644007425,0.731539507,0.81479777
306,306,2573.0,-0.485578872,0.116421795,0.071040461,-0.108690298,-0.167679637,-0.178395854,-0.894298573,-0.589129513,0.039912627,0.006544442,-0.007118576,0.825703151,0.425020008,0.025405316,0.004987177,-0.053978025,0.265144136,0.380151609,-0.994886693,0.617662343,-0.60372905,-0.642178132,-0.276919704,-0.347167229,-0.3270217
307,307,2588.0,-0.126029213,0.172568442,0.225334912,-0.028761341,0.011423153,0.012912759,-0.573096778,-0.027921539,0.0123024,-0.008370135,-0.399188225,1.026750427,1.319697819,0.023082649,3.40796e-05,-0.056905953,-0.45444307,-0.951830205,-3.071998332,1.23684868,-0.186937058,1.264381419,-0.568613182,0.252232967,-0.530331745
