Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
600499,-0.197803666,-0.003610366,-0.134016095,-0.246167491,-0.078378868,-0.290700875,0.094468871,-0.124185776,-0.035824229,0.2419,0.425416,-0.195301,0.024614244,0.011264103,-0.056550615,0.182059213,-0.035379369,-0.411842687,-0.052928416,-0.2661179,-0.265575022,-0.408336227,-1.610311751,-0.89756429,0.028047309,27,1
603567,0.503395894,,,-0.157720193,-0.51819378,,,,0.729679132,,,,0.024784385,0.003270485,-0.057003534,-0.066666667,-0.316023166,,-0.036781609,0.140222649,0.091180349,-0.812394914,-1.575163399,1.46865136,0.06783894,28,1
603369,1.214106771,0.763484905,-0.291948534,-0.229070619,0.326538397,0.237360647,-0.702920938,-0.282958253,0.477513877,0.062997,0.057431,0.010493,0.022526543,-0.003996565,-0.057235534,-0.066536748,-0.683865195,0.3083886,-0.014388489,0.444909305,0.435624824,-1.009593475,-1.574589579,-0.070545723,0.03794044,29,1
000078,0.759246157,0.067466426,0.598597752,0.018805994,-0.061839232,-0.285004063,0.15189753,0.612324824,-0.802113399,5.199942,3.056298,0.134191,0.019721594,0.011055589,-0.055758731,0.347581552,0.693286219,1.008367317,0.010178117,-0.414666576,-0.603698078,-0.584214235,-1.54674221,-0.091937093,0.053090912,30,1
601880,-0.296679527,-0.57290001,-0.546103466,-0.375075831,0.223416444,-0.136658769,0.180729921,-0.538465028,-0.634705687,-0.06032,0.003172,0.118819,0.021773421,0.010395927,-0.055719833,0.19966443,,-0.234899329,-0.0544919,-0.32586146,-0.254549166,0.992943869,-1.521568627,-0.213762716,0.046599638,31,1
603019,-0.247600532,,,-0.18840881,-1.780282935,,,,-0.442286076,0.520938,0.934853,0.309417,0.027185864,0.012892769,-0.054935493,0.001317957,,0.840128215,-0.028565175,-0.342289455,-0.501894536,0.294988203,-1.514114628,-0.152305858,0.055825446,32,1
002588,0.288858056,1.32215011,1.100623615,0.03833358,0.482379706,0.998369787,0.013024185,1.11702095,1.481518198,0.256312,0.231899,0.245258,0.023082649,3.40796E-05,-0.056905953,-0.309252997,-0.310175223,0.174915463,-0.028627196,-0.218002106,-0.093227447,-0.717241463,-1.511591963,-0.282568862,0.043309138,33,1
300146,-0.007735611,0.11242547,-0.503631168,-0.374695431,0.00184726,0.027437858,-0.04115713,-0.495766822,-0.048871829,0.234275,0.300893,0.329073,0.028729689,0.042721458,-0.055328588,0.186806412,,0.188193588,-0.01400168,3.205752743,4.26167681,-1.002983221,-1.501906941,-0.239739784,0.042546652,34,1
002236,-0.370919797,0.31041278,-0.155089726,-0.372356154,-0.578118924,-0.285811186,0.035494008,-0.150244305,-0.34712165,0.206997,0.295668,0.374522,0.029390456,0.020921261,-0.051607164,-0.684281843,-0.603252033,1.120079508,0.000271518,0.026111122,-0.17323911,-0.906174447,-1.486807388,0.006032318,0.038780256,35,1
603885,1.128105479,,,0.133366435,1.503821176,,,,0.000148265,,,,0.020765395,-0.009238138,-0.057878593,-0.507068667,1.076968101,,0.084836852,-0.688713136,-0.547781294,1.81382378,-1.474447264,1.785001733,0.067218431,36,1
